Time_Iter,Outer_Iter,Inner_Iter,"    ""rms[Rho]""    ","    ""rms[RhoU]""   ","    ""rms[RhoV]""   ","    ""rms[RhoE]""   ","     ""rms[k]""     ","     ""rms[w]""     "
0,0,213,-9.3473848,-6.3342996,-6.8009418,-3.0426434,-6.1791707,-5.0766011
0,0,214,-9.3764796,-6.3525749,-6.8227889,-3.0590692,-6.2051431,-5.1285709
0,0,215,-9.4059631,-6.37209,-6.8456963,-3.0768556,-6.2308834,-5.179627
0,0,216,-9.4358271,-6.3928427,-6.8693775,-3.0958905,-6.2565633,-5.2292577
0,0,217,-9.4661177,-6.4147089,-6.8940077,-3.1160521,-6.2823011,-5.2825059
0,0,218,-9.4967319,-6.4375876,-6.9194323,-3.1373172,-6.3082052,-5.3346073
0,0,219,-9.5278054,-6.461411,-6.9455669,-3.1596373,-6.3343804,-5.3826008
0,0,220,-9.5592327,-6.4861487,-6.9724357,-3.1829143,-6.3608575,-5.4373469
0,0,221,-9.5909544,-6.5116882,-6.9999004,-3.207064,-6.3876357,-5.487599
0,0,222,-9.6231226,-6.5380143,-7.0281102,-3.2320771,-6.4148323,-5.537525
0,0,223,-9.6555688,-6.5650613,-7.0568447,-3.2578625,-6.4424207,-5.5808922
0,0,224,-9.688366,-6.5927873,-7.0861206,-3.2843869,-6.4704685,-5.642432
0,0,225,-9.7214924,-6.6211609,-7.1160032,-3.3116499,-6.4988956,-5.6981418
0,0,226,-9.7549521,-6.6501117,-7.1463642,-3.3395499,-6.5277514,-5.7413214
0,0,227,-9.7886833,-6.6796385,-7.1770879,-3.3680558,-6.5569767,-5.7911896
0,0,228,-9.8227053,-6.7096754,-7.208442,-3.3970877,-6.5866625,-5.8332118
0,0,229,-9.8569827,-6.7402181,-7.2400444,-3.426775,-6.6167184,-5.8904414
0,0,230,-9.8916306,-6.7712793,-7.2723278,-3.4569554,-6.6472368,-5.9364472
0,0,231,-9.9264549,-6.8027487,-7.304701,-3.4874426,-6.6781848,-5.9812581
0,0,232,-9.9615435,-6.8346952,-7.337613,-3.5186204,-6.709425,-6.0363985
0,0,233,-9.9969594,-6.8669932,-7.3708435,-3.550191,-6.7409962,-6.089889
0,0,234,-10.032471,-6.8996628,-7.4044076,-3.5821603,-6.7728901,-6.1239045
0,0,235,-10.068351,-6.9327942,-7.4382733,-3.6145102,-6.8052984,-6.1599989
0,0,236,-10.104386,-6.9662202,-7.4725047,-3.6471887,-6.8379307,-6.2258152
0,0,237,-10.140636,-6.9999426,-7.5070883,-3.6804089,-6.8708844,-6.2549321
0,0,238,-10.177106,-7.0340026,-7.5416792,-3.7137251,-6.9042346,-6.301284
0,0,239,-10.213821,-7.0685031,-7.5769109,-3.7476095,-6.937858,-6.3402107
0,0,240,-10.250621,-7.1031069,-7.6122018,-3.7815868,-6.9716943,-6.3667169
0,0,241,-10.28789,-7.1380173,-7.6477213,-3.8159481,-7.0059044,-6.4156472
0,0,242,-10.325045,-7.1733155,-7.6835352,-3.8507128,-7.0403555,-6.4926841
0,0,243,-10.362481,-7.2088597,-7.7197383,-3.8857236,-7.0749805,-6.5251053
0,0,244,-10.399962,-7.2445795,-7.7560682,-3.9208136,-7.1100611,-6.543972
0,0,245,-10.437746,-7.2805528,-7.7925176,-3.9564587,-7.1454579,-6.5902411
0,0,246,-10.475929,-7.3169004,-7.8290509,-3.9921247,-7.1807214,-6.6038795
0,0,247,-10.513885,-7.3532633,-7.8657859,-4.027788,-7.2165435,-6.5681297
0,0,248,-10.551963,-7.3898085,-7.9032511,-4.0640832,-7.2523166,-6.6308269
0,0,249,-10.590651,-7.4267685,-7.9405128,-4.1000863,-7.28846,-6.6395688
0,0,250,-10.629033,-7.4638826,-7.977867,-4.1367863,-7.3249083,-6.6788675
0,0,251,-10.667667,-7.5009284,-8.0149747,-4.1732573,-7.3615937,-6.6627779
0,0,252,-10.706519,-7.5387223,-8.0533053,-4.2110961,-7.3980137,-6.7724688
